"booker_ip_ufi","hotel_ufi","check_month","book_count","from_lat","from_lon","to_lat","to_lon","distance"
-782499,-782831,6,15307,25.2625,55.2944,25.2703,55.3075,1.57719
-782499,-782831,8,13972,25.2625,55.2944,25.2703,55.3075,1.57719
-782499,-782831,5,13599,25.2625,55.2944,25.2703,55.3075,1.57719
-782499,-782831,9,13570,25.2625,55.2944,25.2703,55.3075,1.57719
408663,-782831,8,13411,24.6556,46.6983,25.2703,55.3075,870.404
408663,-782831,6,13031,24.6556,46.6983,25.2703,55.3075,870.404
-782499,-782831,4,12544,25.2625,55.2944,25.2703,55.3075,1.57719
-782499,-782831,3,11899,25.2625,55.2944,25.2703,55.3075,1.57719
-782499,-782831,12,11031,25.2625,55.2944,25.2703,55.3075,1.57719
-2608431,-2601889,3,11004,51.5167,-0.0833333,51.501,-0.126343,3.45077
-2608431,-2601889,6,10712,51.5167,-0.0833333,51.501,-0.126343,3.45077
-782499,-782831,10,10683,25.2625,55.2944,25.2703,55.3075,1.57719
408663,-782831,10,10429,24.6556,46.6983,25.2703,55.3075,870.404
-782499,-782831,2,10378,25.2625,55.2944,25.2703,55.3075,1.57719
-782499,-782831,1,10328,25.2625,55.2944,25.2703,55.3075,1.57719
408663,-782831,1,10259,24.6556,46.6983,25.2703,55.3075,870.404
-2608431,-2601889,5,10249,51.5167,-0.0833333,51.501,-0.126343,3.45077
-2608431,-2601889,2,10219,51.5167,-0.0833333,51.501,-0.126343,3.45077
408663,-782831,3,10202,24.6556,46.6983,25.2703,55.3075,870.404
-782499,-782831,7,10033,25.2625,55.2944,25.2703,55.3075,1.57719
-2608431,-2601889,12,9958,51.5167,-0.0833333,51.501,-0.126343,3.45077
-782499,-782831,11,9937,25.2625,55.2944,25.2703,55.3075,1.57719
-2608431,-2601889,4,9726,51.5167,-0.0833333,51.501,-0.126343,3.45077
-2608431,-2601889,10,9615,51.5167,-0.0833333,51.501,-0.126343,3.45077
-2608431,-2601889,11,9579,51.5167,-0.0833333,51.501,-0.126343,3.45077
-2608431,-2601889,7,9462,51.5167,-0.0833333,51.501,-0.126343,3.45077
-2608431,-2601889,9,9456,51.5167,-0.0833333,51.501,-0.126343,3.45077
408663,-782831,5,9265,24.6556,46.6983,25.2703,55.3075,870.404
-1456928,-1456928,10,8970,48.8562,2.34764,48.8562,2.34764,0
-2608431,-2601889,8,8881,51.5167,-0.0833333,51.501,-0.126343,3.45077
-2608431,-2601889,1,8549,51.5167,-0.0833333,51.501,-0.126343,3.45077
-1456928,-1456928,11,8403,48.8562,2.34764,48.8562,2.34764,0
-2960561,-2996338,6,8392,55.7522,37.6156,59.9391,30.3157,634.407
408663,-782831,4,8227,24.6556,46.6983,25.2703,55.3075,870.404
-1456928,-1456928,6,8066,48.8562,2.34764,48.8562,2.34764,0
408663,-782831,9,8047,24.6556,46.6983,25.2703,55.3075,870.404
-2960561,-2960561,9,7904,55.7522,37.6156,55.7522,37.6156,0
-2960561,-2996338,5,7750,55.7522,37.6156,59.9391,30.3157,634.407
-2960561,-2996338,8,7729,55.7522,37.6156,59.9391,30.3157,634.407
-1456928,-1456928,4,7246,48.8562,2.34764,48.8562,2.34764,0
-1456928,-1456928,12,7209,48.8562,2.34764,48.8562,2.34764,0
-2960561,-2960561,8,7180,55.7522,37.6156,55.7522,37.6156,0
-2960561,-2996338,7,7165,55.7522,37.6156,59.9391,30.3157,634.407
-3414440,-3414440,1,7054,13.7558,100.506,13.7558,100.506,0
-1456928,-1456928,3,7012,48.8562,2.34764,48.8562,2.34764,0
-1456928,-1456928,1,6851,48.8562,2.34764,48.8562,2.34764,0
-3414440,-3414440,3,6771,13.7558,100.506,13.7558,100.506,0
-381535,-390625,12,6621,40.4,-3.68333,40.4167,-3.70342,2.51826
-1456928,-1456928,2,6491,48.8562,2.34764,48.8562,2.34764,0
408663,-782831,2,6489,24.6556,46.6983,25.2703,55.3075,870.404
-73635,-73635,8,6477,1.29306,103.856,1.29306,103.856,0
-3414440,-3414440,8,6440,13.7558,100.506,13.7558,100.506,0
-1456928,-1456928,5,6437,48.8562,2.34764,48.8562,2.34764,0
-3414440,-3414440,2,6426,13.7558,100.506,13.7558,100.506,0
408663,-3096949,7,6277,24.6556,46.6983,21.4225,39.8262,789.576
20019371,20079110,7,6193,41.0936,-73.4192,36.119,-115.168,3634.48
-782066,-782066,5,6145,24.4667,54.3667,24.4667,54.3667,0
